% NextBus#  Stop#   StopLocation
% Bus 104 College Park Metro
% Bus 105 Campus Connector
% Bus 108 Adelphi
% Bus 109 River Road
% Bus 111 Silver Spring
% Bus 113 Hyattsville
% Bus 114 University View
% Bus 115 Orange
% Bus 116 Purple
% Bus 117 Blue
% Bus 118 Gold
% Bus 122 Green
% Bus 123 Discovery District
% Bus 126 New Carrollton
% Bus 127 Mazza Grandmarc
% Bus 128 The Enclave
% Bus 131 MGM/Enclave
% Bus 132 The Varsity
% Bus 133 Grocery Shopping Shuttle
% Bus 140 Carey School of Law
% Bus 141 Gaithersburg Park & Ride
% Bus 142 Columbia Park & Ride
% Bus 143 Greenbelt


10003   104#0 	Regents Drive Garage
36112   104#1 	Campus Drive at Math Slip
37218 	113#22 	Queensbury Road and 44th Place
37219 	113#23 	Queensbury Road and 42nd Place
37220 	113#24 	Belcrest Road and Queens Chapel Road
30559 	113#25 	Prince George's Plaza Metro Station 
37221 	113#26 	Prince George's Community College
37186 	113#27 	Toledo Road and Belcrest Road 
37008 	113#28 	Adelphi Road and Toledo Road 
36153 	113#29 	Adelphi Road and Van Buren Street
27871 	113#30 	Adelphi Road and Wells Parkway 
37191 	113#31 	Adelphi Road and Campus Drive
36411 	113#32 	Stadium Drive and University Boulevard
37091 	113#33 	Stadium Drive Garage
37092 	113#34 	Varsity Team House
10003 	113#35 	Regents Drive Garage
10002 	114#0 	Stamp Student Union - Lot HH
27719 	114#1 	Art/Sociology Building
30089 	114#2 	Wicomico Hall
50002 	114#3 	Preinkert Drive at Lot MV
30138 	114#4 	College Park Shopping Center
27291 	114#5 	Ritchie Coliseum
37105 	114#6 	University View
29789 	114#7 	Baltimore Avenue at The Varsity
36288 	114#8 	Campus Drive at M-Circle
10002 	114#9 	Stamp Student Union - Lot HH
10001   115#0	Stamp Student Union - Slip
36495   115#1 	Union Drive at Lot 1b
36261   115#2 	Valley Drive at Stadium Drive Garage
27227   115#3 	Elkton Hall
27514   115#4 	Hagerstown Hall
27197   115#5 	La Plata Hall
36274   115#6 	Cambridge Hall
10003   115#7 	Regents Drive Garage
30487   115#8 	Mitchell Building 
30043   115#9 	Memorial Chapel 
30456   115#10 	Montgomery Hall 
27291   115#11 	Ritchie Coliseum
36288   115#12    Campus Drive at M-Circle
10001   115#13     Stamp Student Union - Slip
10002   116#0 	Stamp Student Union - Lot HH
34507   116#1 	Hoff Theater
27774   116#2 	Union Lane and Fieldhouse Drive
50016   116#3 	BioSciences Research Building
30397   116#4 	Regents Drive and Stadium Drive 
30425   116#5 	Regents Drive and Farm Drive 
30321   116#6 	Regents Drive at XFINITY Center 
30309   116#7 	Regents Drive and Paint Branch Drive 
37150   116#8 	Shuttle-UM Base 
36290   116#9 	Paint Branch Drive at Lot 4b 
27047   116#10 	Courtyards116#300
27742   116#11 	Courtyards116#400
27735   116#12 	Courtyards116#500
27676   116#13 	Greenmead Drive at Maryland 4-H 
27624   116#14 	Greenmead Drive and Metzerott Road
27522   116#15 	Paint Branch Drive at Lot 4b 
37151   116#16 	Shuttle-UM Base 
30949   116#17 	Regents Drive and Paint Branch Drive 
30332   116#18 	Regents Drive at XFINITY Center 
30313   116#19 	Regents Drive and Farm Drive 
10003   116#20 	Regents Drive Garage
30487   116#21 	Mitchell Building 
30043   116#22 	Memorial Chapel 
30456   116#23 	Montgomery Hall 
27291   116#24 	Ritchie Coliseum
36288   116#25 	Campus Drive at M-Circle
10002   116#26 	Stamp Student Union - Lot HH
10002   117#0 	Stamp Student Union - Lot HH
34507   117#1 	Hoff Theater
27774   117#2 	Union Lane and Fieldhouse Drive
50016   117#3 	BioSciences Research Building
